[2026-09-12T10:04:10.490+0000] {cleaning.py:219} WARNING - appid 689580 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.490+0000] {cleaning.py:219} WARNING - appid 1283970 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.490+0000] {cleaning.py:219} WARNING - appid 875210 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.492+0000] {cleaning.py:219} WARNING - appid 439350 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.493+0000] {cleaning.py:219} WARNING - appid 1469280 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.494+0000] {cleaning.py:219} WARNING - appid 400630 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.495+0000] {cleaning.py:219} WARNING - appid 21000 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.495+0000] {cleaning.py:219} WARNING - appid 1013320 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.496+0000] {cleaning.py:219} WARNING - appid 605740 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.497+0000] {cleaning.py:219} WARNING - appid 672680 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.497+0000] {cleaning.py:219} WARNING - appid 1068820 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.498+0000] {cleaning.py:219} WARNING - appid 991780 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.498+0000] {cleaning.py:219} WARNING - appid 1016800 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.499+0000] {cleaning.py:219} WARNING - appid 46510 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.500+0000] {cleaning.py:219} WARNING - appid 1278480 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.501+0000] {cleaning.py:219} WARNING - appid 550470 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.503+0000] {cleaning.py:219} WARNING - appid 335670 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.504+0000] {cleaning.py:219} WARNING - appid 351030 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.504+0000] {cleaning.py:219} WARNING - appid 429570 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.505+0000] {cleaning.py:219} WARNING - appid 552620 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.505+0000] {cleaning.py:219} WARNING - appid 1279610 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.506+0000] {cleaning.py:219} WARNING - appid 353380 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.507+0000] {cleaning.py:219} WARNING - appid 597760 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.507+0000] {cleaning.py:219} WARNING - appid 486310 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.507+0000] {cleaning.py:219} WARNING - appid 108200 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.508+0000] {cleaning.py:219} WARNING - appid 1787090 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.509+0000] {cleaning.py:219} WARNING - appid 790820 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.510+0000] {cleaning.py:219} WARNING - appid 1634680 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.511+0000] {cleaning.py:219} WARNING - appid 1486350 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.511+0000] {cleaning.py:219} WARNING - appid 776960 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.511+0000] {cleaning.py:219} WARNING - appid 1921980 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.512+0000] {cleaning.py:219} WARNING - appid 287370 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.513+0000] {cleaning.py:219} WARNING - appid 517710 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.513+0000] {cleaning.py:219} WARNING - appid 1112400 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.514+0000] {cleaning.py:219} WARNING - appid 1364390 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.514+0000] {cleaning.py:219} WARNING - appid 282900 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.515+0000] {cleaning.py:219} WARNING - appid 690530 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.515+0000] {cleaning.py:219} WARNING - appid 824270 tidak ditemukan di game_lookup, dilewati
[2026-09-12T10:04:10.516+0000] {cleaning.py:219} WARNING - appid 1504570 tidak ditemukan di game_lookup, dilewati
