[2026-09-09T08:29:16.025+0000] {cleaning.py:219} WARNING - appid 736220 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.026+0000] {cleaning.py:219} WARNING - appid 4570 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.026+0000] {cleaning.py:219} WARNING - appid 17460 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.027+0000] {cleaning.py:219} WARNING - appid 4700 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.028+0000] {cleaning.py:219} WARNING - appid 972660 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.029+0000] {cleaning.py:219} WARNING - appid 859570 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.030+0000] {cleaning.py:219} WARNING - appid 38410 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.030+0000] {cleaning.py:219} WARNING - appid 212740 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.031+0000] {cleaning.py:219} WARNING - appid 747610 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.031+0000] {cleaning.py:219} WARNING - appid 2390840 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.032+0000] {cleaning.py:219} WARNING - appid 250820 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.032+0000] {cleaning.py:219} WARNING - appid 541570 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.033+0000] {cleaning.py:219} WARNING - appid 1325860 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.033+0000] {cleaning.py:219} WARNING - appid 997070 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.034+0000] {cleaning.py:219} WARNING - appid 282660 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.034+0000] {cleaning.py:219} WARNING - appid 329110 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.035+0000] {cleaning.py:219} WARNING - appid 962730 tidak ditemukan di game_lookup, dilewati
[2026-09-09T08:29:16.035+0000] {cleaning.py:219} WARNING - appid 469600 tidak ditemukan di game_lookup, dilewati
